BinaryTC1	BinaryTC2	BinaryTC3	BinaryTC4	HexTC1	HexTC2	HexTC3	HexTC4
011010101000001100010000	011011001001011111101000	111111111111111111011001	111111111111111111011001	0x6a8310	0x6c97e8	-0x27	-0x27
000101000110001101011111	100001111001101011000111	000000000000000000001000	000000000000000000001000	0x14635f	0x879ac7	0x8	0x8
011001101111111111101001	000011001100111011000101	000000000000000000100010	000000000000000000100010	0x66ffe9	0xccec5	0x22	0x22
000110110000100110100001	000011100001101001111000	000000000000000000010001	000000000000000000010001	0x1b09a1	0xe1a78	0x11	0x11
000001011000000111111000	000011111010100100000110	000000000000000000110001	000000000000000000110001	0x581f8	0xfa906	0x31	0x31
010101101000111001110001	000110001010010110111101	000000000000000000000101	000000000000000000000101	0x568e71	0x18a5bd	0x5	0x5
000011011111110001100111	000100000011101111000011	000000000000000000100111		0xdfc67	0x103bc3	0x27	
001010010011001101101010	000010100101110001111011	000000000000000000000000	000000000000000000000000	0x29336a	0xa5c7b	0x0	0x0
100100110010101111111101	010011110110000000110010	000000000000000000100001	000000000000000000100001	0x932bfd	0x4f6032	0x21	0x21
000100100000010110110110	000010010001000000111011	000000000000000000001100	000000000000000000001100	0x1205b6	0x9103b	0xc	0xc
000101101100010011011001	000011000011101001011011	111111111111111111111010	111111111111111111111010	0x16c4d9	0xc3a5b	-0x6	-0x6
001111010101000110100011	001110011110111110001110	000000000000000000011011	000000000000000000011011	0x3d51a3	0x39ef8e	0x1b	0x1b
011101001100110111101000	011100100100011010110001	111111111111111111111100	111111111111111111111100	0x74cde8	0x7246b1	-0x4	-0x4
011010111100001110110101	100101001001111011110100	111111111111111111011010	111111111111111111011010	0x6bc3b5	0x949ef4	-0x26	-0x26
001001011100111110111010	100010110100101100100001	000000000000000000011010	000000000000000000011010	0x25cfba	0x8b4b21	0x1a	0x1a
010111011001101111110000	010100111000010010110111	000000000000000000110001	000000000000000000110001	0x5d9bf0	0x5384b7	0x31	0x31
100000000111110001000001	100001001100100000000101	000000000000000000011101	000000000000000000011101	0x807c41	0x84c805	0x1d	0x1d
001011001000010001110001	011111011011001111100010	000000000000000000101010	000000000000000000101010	0x2c8471	0x7db3e2	0x2a	0x2a
001100101111100111100101	100001000110111001111110	111111111111111111110000	111111111111111111110000	0x32f9e5	0x846e7e	-0x10	-0x10
000100010000011100110100	000001011110001101111000	111111111111111111100100		0x110734	0x5e378	-0x1c	
100010111111010011100000	010110011000011101001100	000000000000000000100010	000000000000000000100010	0x8bf4e0	0x59874c	0x22	0x22
010111111011001111111100	010010101010111101001110	000000000000000000010100	000000000000000000010100	0x5fb3fc	0x4aaf4e	0x14	0x14
100001001000110101011011	100010010101001000011011	000000000000000000000000	000000000000000000000000	0x848d5b	0x89521b	0x0	0x0
000000001100011100101010	010000110000011001010111	000000000000000000011001	000000000000000000011001	0xc72a	0x430657	0x19	0x19
100011110001001010011010	000111111011010110110011	000000000000000000101101	000000000000000000101101	0x8f129a	0x1fb5b3	0x2d	0x2d
010110101111101001010111	001011101101100010101100	000000000000000000000011	000000000000000000000011	0x5afa57	0x2ed8ac	0x3	0x3
011101010100101011101011	011100011011010101011110	111111111111111111010010	111111111111111111010010	0x754aeb	0x71b55e	-0x2e	-0x2e
011001001111000010001111	010101011111110110110110	111111111111111111010010	111111111111111111010010	0x64f08f	0x55fdb6	-0x2e	-0x2e
000111000111010010001100	000100101101010000001100	000000000000000000011101	000000000000000000011101	0x1c748c	0x12d40c	0x1d	0x1d
001100101100111110101010	010111001110110010001011	000000000000000000100001	000000000000000000100001	0x32cfaa	0x5cec8b	0x21	0x21
001111000010100110001010	000110110101100100111100	000000000000000000011101	000000000000000000011101	0x3c298a	0x1b593c	0x1d	0x1d
001001111110011000110100	011000000001110000001101	000000000000000000011010	000000000000000000011010	0x27e634	0x601c0d	0x1a	0x1a
011100010000010010110100	001001001011111001100110	111111111111111111111011	111111111111111111111011	0x7104b4	0x24be66	-0x5	-0x5
001001000110000100111110	100000011101101010010100	111111111111111111011100	111111111111111111011100	0x24613e	0x81da94	-0x24	-0x24
000001100001010000001011	000011110010000101011101	000000000000000000001100	000000000000000000001100	0x6140b	0xf215d	0xc	0xc
100001001011101010000111	011000101000000110111011	000000000000000000101101	000000000000000000101101	0x84ba87	0x6281bb	0x2d	0x2d
100100011011111101010000	011101110111011010110111	111111111111111111001110	111111111111111111001110	0x91bf50	0x7776b7	-0x32	-0x32
000011111000111010100100	011000001001001001100011	000000000000000000000000	000000000000000000000000	0xf8ea4	0x609263	0x0	0x0
000110011001100001110110	100110000101000101100001	111111111111111111111010	111111111111111111111010	0x199876	0x985161	-0x6	-0x6
001101010001100001001101	001000101111100100110110	111111111111111111011001		0x35184d	0x22f936	-0x27	
